datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-06 03:00:00,221451,2024,97,300,13.62,58.0,,,,0.0,
2024-04-06 04:00:00,221452,2024,97,400,13.28,65.0,,,,0.0,
2024-04-06 05:00:00,221453,2024,97,500,12.79,64.0,,,,0.0,
2024-04-06 06:00:00,221454,2024,97,600,12.51,56.0,,,,0.0,
2024-04-06 07:00:00,221455,2024,97,700,12.71,38.0,,,,0.0,
2024-04-06 08:00:00,221456,2024,97,800,13.84,33.0,,,,0.0,
2024-04-06 09:00:00,221457,2024,97,900,17.57,31.0,,,,0.0,
2024-04-06 10:00:00,221458,2024,97,1000,19.32,31.0,,,,0.0,
2024-04-06 11:00:00,221459,2024,97,1100,22.31,35.0,,,,0.0,
2024-04-06 12:00:00,221460,2024,97,1200,21.67,35.0,,,,0.0,
2024-04-06 13:00:00,221461,2024,97,1300,21.31,35.0,,,,0.0,
2024-04-06 14:00:00,221462,2024,97,1400,22.53,35.0,,,,0.0,
2024-04-06 15:00:00,221463,2024,97,1500,20.85,42.0,,,,0.0,
2024-04-06 16:00:00,221464,2024,97,1600,20.34,43.0,,,,0.0,
2024-04-06 17:00:00,221465,2024,97,1700,18.51,44.0,,,,0.0,
2024-04-06 18:00:00,221466,2024,97,1800,16.54,49.0,,,,0.0,
2024-04-06 19:00:00,221467,2024,97,1900,15.46,49.0,,,,0.0,
2024-04-06 20:00:00,221468,2024,97,2000,14.94,41.0,,,,0.0,
2024-04-06 21:00:00,221469,2024,97,2100,14.15,43.0,,,,0.0,
2024-04-06 22:00:00,221470,2024,97,2200,15.23,41.0,,,,0.0,
2024-04-06 23:00:00,221471,2024,97,2300,15.68,37.0,,,,0.0,
2024-04-07 00:00:00,221472,2024,98,0,16.81,36.0,,,,0.0,
2024-04-07 01:00:00,221473,2024,98,100,17.44,35.0,,,,0.0,
2024-04-07 02:00:00,221474,2024,98,200,17.51,39.0,,,,0.0,
2024-04-07 03:00:00,221475,2024,98,300,17.2,41.0,,,,0.0,
2024-04-07 04:00:00,221476,2024,98,400,17.2,41.0,,,,0.0,
2024-04-07 05:00:00,221477,2024,98,500,17.07,37.0,,,,0.0,
2024-04-07 06:00:00,221478,2024,98,600,16.34,37.0,,,,0.0,
2024-04-07 07:00:00,221479,2024,98,700,16.15,35.0,,,,0.0,
2024-04-07 08:00:00,221480,2024,98,800,16.06,36.0,,,,0.0,
2024-04-07 09:00:00,221481,2024,98,900,15.95,41.0,,,,0.0,
2024-04-07 10:00:00,221482,2024,98,1000,16.49,43.0,,,,0.0,
2024-04-07 11:00:00,221483,2024,98,1100,16.78,46.0,,,,0.0,
